title,price,img-src,link_produkt-href,chipset,ram,dlugosc,taktowanie,part_number
AFOX GeForce GT 710 2GB DDR3,"251,95 zł",https://images.morele.net/i256/10155834_0_i256.jpg,https://www.morele.net/karta-graficzna-afox-geforce-gt-710-2gb-ddr3-af710-2048d3l5-v3-10155834/,GeForce GT 710,Brak danych,Brak danych,Nie dotyczy,AF710-2048D3L5-V3
AFOX GeForce GT 710 2GB DDR3,"251,95 zł",https://images.morele.net/i256/8549174_1_i256.jpg,https://www.morele.net/karta-graficzna-afox-geforce-gt-710-2gb-ddr3-af710-2048d3l5-8549174/,GeForce GT 710,Brak danych,Brak danych,Nie dotyczy,AF710-2048D3L5
Inno3D GeForce GT 730 2GB DDR3,"224,56 zł",https://images.morele.net/i256/824679_0_i256.jpeg,https://www.morele.net/karta-graficzna-inno3d-geforce-gt-730-2gb-ddr3-n730-1sdv-e3bx-824679/,GeForce GT 730,140 mm,140 mm,Nie dotyczy,N730-1SDV-E3BX
AFOX Radeon HD 6450 2GB DDR3,"176,64 zł",https://images.morele.net/i256/7597400_1_i256.jpg,https://www.morele.net/karta-graficzna-afox-radeon-hd-6450-2gb-ddr3-af6450-2048d3l5-7597400/,Radeon HD6450,168 mm,168 mm,Nie dotyczy,AF6450-2048D3L5
AFOX Radeon R5 230 1GB DDR3,"174,71 zł",https://images.morele.net/i256/12304532_0_i256.jpg,https://www.morele.net/karta-graficzna-afox-radeon-r5-230-1gb-ddr3-afr5230-1024d3l4-12304532/,Radeon R5 230,Brak danych,Brak danych,Nie dotyczy,AFR5230-1024D3L4
PNY GeForce 8400GS 512MB DDR2,174 zł,https://images.morele.net/i256/13864684_0_i256.jpg,https://www.morele.net/karta-graficzna-pny-geforce-8400gs-512mb-ddr2-gm84ww0sn2e49h-0te-13864684/,GeForce 8400GS,Brak danych,Brak danych,Brak danych,GM84WW0SN2E49H/0TE
PNY GeForce 8400GS 512MB DDR3,174 zł,https://images.morele.net/i256/13263901_0_i256.jpg,https://www.morele.net/karta-graficzna-pny-geforce-8400gs-512mb-ddr3-fr146545-13263901/,GeForce 8400GS,Brak danych,Brak danych,Brak danych,FR146545
AFOX GeForce GT 610 2GB GDDR3,"172,22 zł",https://images.morele.net/i256/12194743_0_i256.jpg,https://www.morele.net/karta-graficzna-afox-geforce-gt-610-2gb-gddr3-af610-2048d3l7-v8-12194743/,GeForce GT 610,Brak danych,Brak danych,1333 MHz,AF610-2048D3L7-V8
AFOX Radeon R5 230 1GB DDR3,"165,99 zł",https://images.morele.net/i256/12242922_4_i256.jpg,https://www.morele.net/karta-graficzna-afox-radeon-r5-230-1gb-ddr3-afr5230-1024d3l9-12242922/,Radeon R5 230,Brak danych,Brak danych,Nie dotyczy,AFR5230-1024D3L9
AFOX Radeon HD 6450 1GB DDR3,"158,85 zł",https://images.morele.net/i256/12242932_1_i256.jpg,https://www.morele.net/karta-graficzna-afox-radeon-hd-6450-1gb-ddr3-af6450-1024d3l9-12242932/,Radeon HD6450,Brak danych,Brak danych,Nie dotyczy,AF6450-1024D3L9
